sentence,hours_delta,date_idx_start,date_idx_end,reference_type
He had to wait until six days ago to get a table,-144,21,33,day
We watched the movie together two years ago,-17520,30,43,year
"I know they are leaving in two months, but I don't know when they will return",1440,24,37,month
"The concert was postponed to in twelve hours, due to unexpected weather conditions",12,29,44,hour
I'll go buy groceries in an hour,1,22,32,hour
I was watching a video two months ago which explained the subject really well,-1440,23,37,month
"I last saw them two weeks ago, and we had a great time catching up",-336,16,29,week
We watched the movie together two months ago,-1440,30,44,month
"His resignation was officially announced six months ago, shocking many employees",-4320,41,55,month
We watched the movie together six days ago,-144,30,42,day
"The store is expected to restock the item tomorrow, according to their website",24,42,50,day
We watched the movie together five days ago,-120,30,43,day
I'll go buy groceries in four days,96,22,34,day
"I'll call you back in two hours, once I have more information",2,19,31,hour
"Their anniversary celebration took place three days ago, and it was beautiful",-72,41,55,day
"I'll call you back in six hours, once I have more information",6,19,31,hour
We watched the movie together four days ago,-96,30,43,day
He had to wait until three hours ago to get a table,-3,21,36,hour
I was watching a video four hours ago which explained the subject really well,-4,23,37,hour
"The film came out six days ago, receving a mixed reception",-144,18,30,day
She went to the doctor three weeks ago,-504,23,38,week
I'll go buy groceries in eight hours,8,22,36,hour
"I met him for the first time six days ago, and we immediately hit it off",-144,29,41,day
"I last saw them two years ago, and we had a great time catching up",-17520,16,29,year
"The store is expected to restock the item next year, according to their website",8760,42,51,year
We watched the movie together three months ago,-2160,30,46,month
That matter was concluded a day ago,-24,26,35,day
"The store is expected to restock the item next week, according to their website",168,42,51,week
"three years ago, he finally talked to me",-26280,0,15,year
"The film came out three months ago, receving a mixed reception",-2160,18,34,month
"Their anniversary celebration took place two years ago, and it was beautiful",-17520,41,54,year
We watched the movie together two hours ago,-2,30,43,hour
"I know they are leaving tomorrow, but I don't know when they will return",24,24,32,day
"I last saw them two months ago, and we had a great time catching up",-1440,16,30,month
"The new law goes into effect next week, changing several regulations",168,29,38,week
"His resignation was officially announced six days ago, shocking many employees",-144,41,53,day
"The concert was postponed to in six hours, due to unexpected weather conditions",6,29,41,hour
I'll go buy groceries in two months,1440,22,35,month
"The concert was postponed to next year, due to unexpected weather conditions",8760,29,38,year
"The store is expected to restock the item next month, according to their website",720,42,52,month
That matter was concluded three years ago,-26280,26,41,year
"The new law goes into effect in twelve hours, changing several regulations",12,29,44,hour
We watched the movie together six months ago,-4320,30,44,month
"The film came out six months ago, receving a mixed reception",-4320,18,32,month
"The film came out a year ago, receving a mixed reception",-8760,18,28,year
"I know they are leaving in six months, but I don't know when they will return",4320,24,37,month
He had to wait until three weeks ago to get a table,-504,21,36,week
Our meeting is set in two days,48,19,30,day
I was watching a video a year ago which explained the subject really well,-8760,23,33,year
"His resignation was officially announced four days ago, shocking many employees",-96,41,54,day
He had to wait until two years ago to get a table,-17520,21,34,year
Our meeting is set in six hours,6,19,31,hour
We watched the movie together three weeks ago,-504,30,45,week
That matter was concluded two weeks ago,-336,26,39,week
"I know they are leaving next week, but I don't know when they will return",168,24,33,week
"I last saw them eight hours ago, and we had a great time catching up",-8,16,31,hour
Our meeting is set in two months,1440,19,32,month
"Their anniversary celebration took place six days ago, and it was beautiful",-144,41,53,day
"I met him for the first time two hours ago, and we immediately hit it off",-2,29,42,hour
"I last saw them three days ago, and we had a great time catching up",-72,16,30,day
The product launched three weeks ago and was a great success,-504,21,36,week
She went to the doctor three days ago,-72,23,37,day
The product launched two weeks ago and was a great success,-336,21,34,week
"I know they are leaving next year, but I don't know when they will return",8760,24,33,year
"I met him for the first time six weeks ago, and we immediately hit it off",-1008,29,42,week
"I last saw them twelve hours ago, and we had a great time catching up",-12,16,32,hour
"I last saw them two hours ago, and we had a great time catching up",-2,16,29,hour
"The film came out two months ago, receving a mixed reception",-1440,18,32,month
She went to the doctor four days ago,-96,23,36,day
"The store is expected to restock the item three hours from now, according to their website",3,42,62,hour
We watched the movie together an hour ago,-1,30,41,hour
He had to wait until eight hours ago to get a table,-8,21,36,hour
"three hours ago, he finally talked to me",-3,0,15,hour
"The new law goes into effect four hours from now, changing several regulations",4,29,48,hour
"I'll call you back in two years, once I have more information",17520,19,31,year
"three weeks ago, he finally talked to me",-504,0,15,week
I'll go buy groceries in three months,2160,22,37,month
"The concert was postponed to in an hour, due to unexpected weather conditions",1,29,39,hour
He had to wait until five days ago to get a table,-120,21,34,day
"I know they are leaving in two days, but I don't know when they will return",48,24,35,day
"The film came out three years ago, receving a mixed reception",-26280,18,33,year
That matter was concluded a year ago,-8760,26,36,year
"I met him for the first time three days ago, and we immediately hit it off",-72,29,43,day
I was watching a video an hour ago which explained the subject really well,-1,23,34,hour
"Their anniversary celebration took place a month ago, and it was beautiful",-720,41,52,month
She went to the doctor two hours ago,-2,23,36,hour
"The new law goes into effect next year, changing several regulations",8760,29,38,year
We watched the movie together three hours ago,-3,30,45,hour
She went to the doctor six weeks ago,-1008,23,36,week
"I know they are leaving in six years, but I don't know when they will return",52560,24,36,year
"two weeks ago, he finally talked to me",-336,0,13,week
She went to the doctor an hour ago,-1,23,34,hour
"The film came out a month ago, receving a mixed reception",-720,18,29,month
I was watching a video eight hours ago which explained the subject really well,-8,23,38,hour
"I last saw them three months ago, and we had a great time catching up",-2160,16,32,month
"Their anniversary celebration took place six years ago, and it was beautiful",-52560,41,54,year
"I met him for the first time six years ago, and we immediately hit it off",-52560,29,42,year
"I'll call you back next year, once I have more information",8760,19,28,year
He had to wait until three months ago to get a table,-2160,21,37,month
"four days ago, he finally talked to me",-96,0,13,day
Our meeting is set next month,720,19,29,month
"I'll call you back next week, once I have more information",168,19,28,week
"I met him for the first time six hours ago, and we immediately hit it off",-6,29,42,hour
I was watching a video three days ago which explained the subject really well,-72,23,37,day
"The store is expected to restock the item in six hours, according to their website",6,42,54,hour
I'll go buy groceries in six hours,6,22,34,hour
He had to wait until six hours ago to get a table,-6,21,34,hour
"The store is expected to restock the item in an hour, according to their website",1,42,52,hour
She went to the doctor twelve hours ago,-12,23,39,hour
I was watching a video six months ago which explained the subject really well,-4320,23,37,month
"We’re planning to visit them in six months, if everything goes as expected",4320,29,42,month
Our meeting is set in eight hours,8,19,33,hour
She went to the doctor two weeks ago,-336,23,36,week
"I'll call you back in three months, once I have more information",2160,19,34,month
"I met him for the first time four days ago, and we immediately hit it off",-96,29,42,day
That matter was concluded two years ago,-17520,26,39,year
We watched the movie together a week ago,-168,30,40,week
"I met him for the first time six months ago, and we immediately hit it off",-4320,29,43,month
Our meeting is set in five days,120,19,31,day
She went to the doctor six years ago,-52560,23,36,year
Our meeting is set in twelve hours,12,19,34,hour
I was watching a video two hours ago which explained the subject really well,-2,23,36,hour
"His resignation was officially announced a month ago, shocking many employees",-720,41,52,month
"We’re planning to visit them next week, if everything goes as expected",168,29,38,week
I'll go buy groceries in twelve hours,12,22,37,hour
She went to the doctor two years ago,-17520,23,36,year
"The new law goes into effect in eight hours, changing several regulations",8,29,43,hour
"His resignation was officially announced two days ago, shocking many employees",-48,41,53,day
That matter was concluded six hours ago,-6,26,39,hour
"The new law goes into effect in six hours, changing several regulations",6,29,41,hour
"The concert was postponed to in three weeks, due to unexpected weather conditions",504,29,43,week
"I met him for the first time three months ago, and we immediately hit it off",-2160,29,45,month
"We’re planning to visit them four hours from now, if everything goes as expected",4,29,48,hour
"The store is expected to restock the item in eight hours, according to their website",8,42,56,hour
"I last saw them six hours ago, and we had a great time catching up",-6,16,29,hour
She went to the doctor two days ago,-48,23,35,day
"The new law goes into effect in two hours, changing several regulations",2,29,41,hour
"We’re planning to visit them in six years, if everything goes as expected",52560,29,41,year
That matter was concluded two months ago,-1440,26,40,month
He had to wait until three days ago to get a table,-72,21,35,day
I'll go buy groceries in two weeks,336,22,34,week
"eight hours ago, he finally talked to me",-8,0,15,hour
"I met him for the first time three hours ago, and we immediately hit it off",-3,29,44,hour
I'll go buy groceries in five days,120,22,34,day
"His resignation was officially announced five days ago, shocking many employees",-120,41,54,day
Our meeting is set in two years,17520,19,31,year
He had to wait until six months ago to get a table,-4320,21,35,month
Our meeting is set four hours from now,4,19,38,hour
"four hours ago, he finally talked to me",-4,0,14,hour
"The concert was postponed to in three months, due to unexpected weather conditions",2160,29,44,month
I'll go buy groceries next week,168,22,31,week
"We’re planning to visit them in six days, if everything goes as expected",144,29,40,day
Our meeting is set three hours from now,3,19,39,hour
"I'll call you back in two weeks, once I have more information",336,19,31,week
The product launched three years ago and was a great success,-26280,21,36,year
"I met him for the first time three weeks ago, and we immediately hit it off",-504,29,44,week
"I know they are leaving in two weeks, but I don't know when they will return",336,24,36,week
"The store is expected to restock the item in three days, according to their website",72,42,55,day
Our meeting is set in four days,96,19,31,day
"Their anniversary celebration took place four hours ago, and it was beautiful",-4,41,55,hour
That matter was concluded four days ago,-96,26,39,day
"His resignation was officially announced two hours ago, shocking many employees",-2,41,54,hour
"I last saw them four days ago, and we had a great time catching up",-96,16,29,day
"two days ago, he finally talked to me",-48,0,12,day
"The film came out four days ago, receving a mixed reception",-96,18,31,day
He had to wait until six weeks ago to get a table,-1008,21,34,week
"The film came out an hour ago, receving a mixed reception",-1,18,29,hour
"The film came out six years ago, receving a mixed reception",-52560,18,31,year
The product launched two hours ago and was a great success,-2,21,34,hour
I'll go buy groceries in two hours,2,22,34,hour
"six hours ago, he finally talked to me",-6,0,13,hour
That matter was concluded four hours ago,-4,26,40,hour
I was watching a video three hours ago which explained the subject really well,-3,23,38,hour
That matter was concluded six months ago,-4320,26,40,month
"I last saw them six weeks ago, and we had a great time catching up",-1008,16,29,week
"The film came out eight hours ago, receving a mixed reception",-8,18,33,hour
"The new law goes into effect in six weeks, changing several regulations",1008,29,41,week
The product launched eight hours ago and was a great success,-8,21,36,hour
The product launched six months ago and was a great success,-4320,21,35,month
"The store is expected to restock the item in two years, according to their website",17520,42,54,year
"six days ago, he finally talked to me",-144,0,12,day
He had to wait until a week ago to get a table,-168,21,31,week
I'll go buy groceries next month,720,22,32,month
I'll go buy groceries in three days,72,22,35,day
"I know they are leaving in three weeks, but I don't know when they will return",504,24,38,week
"We’re planning to visit them in six hours, if everything goes as expected",6,29,41,hour
"twelve hours ago, he finally talked to me",-12,0,16,hour
"I'll call you back in six weeks, once I have more information",1008,19,31,week
"I'll call you back in three days, once I have more information",72,19,32,day
"The film came out three weeks ago, receving a mixed reception",-504,18,33,week
"Their anniversary celebration took place eight hours ago, and it was beautiful",-8,41,56,hour
We watched the movie together a year ago,-8760,30,40,year
"Their anniversary celebration took place twelve hours ago, and it was beautiful",-12,41,57,hour
"a day ago, he finally talked to me",-24,0,9,day
"The concert was postponed to in six years, due to unexpected weather conditions",52560,29,41,year
"The film came out five days ago, receving a mixed reception",-120,18,31,day
"The store is expected to restock the item in three weeks, according to their website",504,42,56,week
We watched the movie together three days ago,-72,30,44,day
"a week ago, he finally talked to me",-168,0,10,week
"The store is expected to restock the item in six days, according to their website",144,42,53,day
"We’re planning to visit them in eight hours, if everything goes as expected",8,29,43,hour
"two months ago, he finally talked to me",-1440,0,14,month
"His resignation was officially announced two years ago, shocking many employees",-17520,41,54,year
I'll go buy groceries tomorrow,24,22,30,day
I'll go buy groceries three hours from now,3,22,42,hour
The product launched three days ago and was a great success,-72,21,35,day
The product launched a month ago and was a great success,-720,21,32,month
Our meeting is set next year,8760,19,28,year
"His resignation was officially announced three days ago, shocking many employees",-72,41,55,day
"The concert was postponed to three hours from now, due to unexpected weather conditions",3,29,49,hour
"The store is expected to restock the item in three years, according to their website",26280,42,56,year
"The new law goes into effect in three weeks, changing several regulations",504,29,43,week
"His resignation was officially announced a week ago, shocking many employees",-168,41,51,week
The product launched three hours ago and was a great success,-3,21,36,hour
I'll go buy groceries four hours from now,4,22,41,hour
The product launched a week ago and was a great success,-168,21,31,week
"His resignation was officially announced two months ago, shocking many employees",-1440,41,55,month
"His resignation was officially announced a year ago, shocking many employees",-8760,41,51,year
That matter was concluded six years ago,-52560,26,39,year
"I'll call you back in an hour, once I have more information",1,19,29,hour
"We’re planning to visit them in two days, if everything goes as expected",48,29,40,day
The product launched a year ago and was a great success,-8760,21,31,year
"The film came out two weeks ago, receving a mixed reception",-336,18,31,week
Our meeting is set in two weeks,336,19,31,week
That matter was concluded five days ago,-120,26,39,day
"The new law goes into effect in two weeks, changing several regulations",336,29,41,week
"I met him for the first time two weeks ago, and we immediately hit it off",-336,29,42,week
"I'll call you back in two days, once I have more information",48,19,30,day
That matter was concluded three months ago,-2160,26,42,month
"I last saw them an hour ago, and we had a great time catching up",-1,16,27,hour
"I last saw them six months ago, and we had a great time catching up",-4320,16,30,month
"a year ago, he finally talked to me",-8760,0,10,year
He had to wait until three years ago to get a table,-26280,21,36,year
"The store is expected to restock the item in three months, according to their website",2160,42,57,month
I was watching a video a month ago which explained the subject really well,-720,23,34,month
We watched the movie together four hours ago,-4,30,44,hour
"I know they are leaving in two years, but I don't know when they will return",17520,24,36,year
"I met him for the first time twelve hours ago, and we immediately hit it off",-12,29,45,hour
The product launched six hours ago and was a great success,-6,21,34,hour
"I last saw them three hours ago, and we had a great time catching up",-3,16,31,hour
We watched the movie together eight hours ago,-8,30,45,hour
Our meeting is set in two hours,2,19,31,hour
I was watching a video two years ago which explained the subject really well,-17520,23,36,year
The product launched six days ago and was a great success,-144,21,33,day
I'll go buy groceries next year,8760,22,31,year
"The new law goes into effect tomorrow, changing several regulations",24,29,37,day
He had to wait until an hour ago to get a table,-1,21,32,hour
"I met him for the first time a year ago, and we immediately hit it off",-8760,29,39,year
"I'll call you back in five days, once I have more information",120,19,31,day
"The new law goes into effect in two days, changing several regulations",48,29,40,day
"The film came out twelve hours ago, receving a mixed reception",-12,18,34,hour
She went to the doctor three hours ago,-3,23,38,hour
"Their anniversary celebration took place a week ago, and it was beautiful",-168,41,51,week
I was watching a video twelve hours ago which explained the subject really well,-12,23,39,hour
"three months ago, he finally talked to me",-2160,0,16,month
"The new law goes into effect in three days, changing several regulations",72,29,42,day
We watched the movie together twelve hours ago,-12,30,46,hour
That matter was concluded two days ago,-48,26,38,day
"His resignation was officially announced six years ago, shocking many employees",-52560,41,54,year
"I know they are leaving in three years, but I don't know when they will return",26280,24,38,year
She went to the doctor six hours ago,-6,23,36,hour
"We’re planning to visit them in two weeks, if everything goes as expected",336,29,41,week
Our meeting is set in six days,144,19,30,day
"I met him for the first time five days ago, and we immediately hit it off",-120,29,42,day
"I last saw them a month ago, and we had a great time catching up",-720,16,27,month
I was watching a video six hours ago which explained the subject really well,-6,23,36,hour
"I last saw them a week ago, and we had a great time catching up",-168,16,26,week
That matter was concluded two hours ago,-2,26,39,hour
"two hours ago, he finally talked to me",-2,0,13,hour
"I'll call you back in four days, once I have more information",96,19,31,day
I'll go buy groceries in two days,48,22,33,day
"I'll call you back in eight hours, once I have more information",8,19,33,hour
"We’re planning to visit them in two years, if everything goes as expected",17520,29,41,year
"Their anniversary celebration took place a year ago, and it was beautiful",-8760,41,51,year
"I know they are leaving in an hour, but I don't know when they will return",1,24,34,hour
"The new law goes into effect next month, changing several regulations",720,29,39,month
"The new law goes into effect in two years, changing several regulations",17520,29,41,year
The product launched a day ago and was a great success,-24,21,30,day
"I met him for the first time two days ago, and we immediately hit it off",-48,29,41,day
The product launched two days ago and was a great success,-48,21,33,day
"The film came out two days ago, receving a mixed reception",-48,18,30,day
I was watching a video three months ago which explained the subject really well,-2160,23,39,month
She went to the doctor a week ago,-168,23,33,week
"His resignation was officially announced three years ago, shocking many employees",-26280,41,56,year
"Their anniversary celebration took place five days ago, and it was beautiful",-120,41,54,day
Our meeting is set in an hour,1,19,29,hour
"Their anniversary celebration took place two weeks ago, and it was beautiful",-336,41,54,week
"I last saw them six years ago, and we had a great time catching up",-52560,16,29,year
"I know they are leaving in five days, but I don't know when they will return",120,24,36,day
"The new law goes into effect in two months, changing several regulations",1440,29,42,month
"I'll call you back four hours from now, once I have more information",4,19,38,hour
I'll go buy groceries in six months,4320,22,35,month
She went to the doctor a year ago,-8760,23,33,year
"a month ago, he finally talked to me",-720,0,11,month
"The store is expected to restock the item in two days, according to their website",48,42,53,day
"The new law goes into effect in four days, changing several regulations",96,29,41,day
Our meeting is set in three months,2160,19,34,month
Our meeting is set in three weeks,504,19,33,week
The product launched two months ago and was a great success,-1440,21,35,month
"The new law goes into effect in six years, changing several regulations",52560,29,41,year
"The concert was postponed to in two hours, due to unexpected weather conditions",2,29,41,hour
"The concert was postponed to four hours from now, due to unexpected weather conditions",4,29,48,hour
"The concert was postponed to next week, due to unexpected weather conditions",168,29,38,week
She went to the doctor a month ago,-720,23,34,month
I'll go buy groceries in three weeks,504,22,36,week
"The concert was postponed to in eight hours, due to unexpected weather conditions",8,29,43,hour
"His resignation was officially announced a day ago, shocking many employees",-24,41,50,day
"I'll call you back in six years, once I have more information",52560,19,31,year
I was watching a video four days ago which explained the subject really well,-96,23,36,day
I'll go buy groceries in three years,26280,22,36,year
That matter was concluded six weeks ago,-1008,26,39,week
I was watching a video a week ago which explained the subject really well,-168,23,33,week
"Their anniversary celebration took place three years ago, and it was beautiful",-26280,41,56,year
I'll go buy groceries in six years,52560,22,34,year
"We’re planning to visit them in four days, if everything goes as expected",96,29,41,day
I was watching a video a day ago which explained the subject really well,-24,23,32,day
"His resignation was officially announced three hours ago, shocking many employees",-3,41,56,hour
"I met him for the first time three years ago, and we immediately hit it off",-26280,29,44,year
We watched the movie together six hours ago,-6,30,43,hour
"I met him for the first time an hour ago, and we immediately hit it off",-1,29,40,hour
"The store is expected to restock the item in six years, according to their website",52560,42,54,year
"I know they are leaving in four days, but I don't know when they will return",96,24,36,day
"The concert was postponed to in six months, due to unexpected weather conditions",4320,29,42,month
"I'll call you back in six days, once I have more information",144,19,30,day
"I last saw them two days ago, and we had a great time catching up",-48,16,28,day
She went to the doctor two months ago,-1440,23,37,month
Our meeting is set next week,168,19,28,week
"I last saw them four hours ago, and we had a great time catching up",-4,16,30,hour
That matter was concluded a month ago,-720,26,37,month
Our meeting is set in six weeks,1008,19,31,week
"We’re planning to visit them in two months, if everything goes as expected",1440,29,42,month
He had to wait until a day ago to get a table,-24,21,30,day
The product launched an hour ago and was a great success,-1,21,32,hour
He had to wait until two months ago to get a table,-1440,21,35,month
"We’re planning to visit them in three months, if everything goes as expected",2160,29,44,month
"The store is expected to restock the item four hours from now, according to their website",4,42,61,hour
She went to the doctor six days ago,-144,23,35,day
"The film came out two years ago, receving a mixed reception",-17520,18,31,year
"The concert was postponed to in five days, due to unexpected weather conditions",120,29,41,day
"The concert was postponed to in six days, due to unexpected weather conditions",144,29,40,day
He had to wait until six years ago to get a table,-52560,21,34,year
She went to the doctor a day ago,-24,23,32,day
Our meeting is set in three days,72,19,32,day
I'll go buy groceries in six weeks,1008,22,34,week
He had to wait until two hours ago to get a table,-2,21,34,hour
I was watching a video six weeks ago which explained the subject really well,-1008,23,36,week
I'll go buy groceries in two years,17520,22,34,year
"The store is expected to restock the item in four days, according to their website",96,42,54,day
The product launched three months ago and was a great success,-2160,21,37,month
"The film came out six hours ago, receving a mixed reception",-6,18,31,hour
We watched the movie together six years ago,-52560,30,43,year
We watched the movie together two weeks ago,-336,30,43,week
He had to wait until a year ago to get a table,-8760,21,31,year
That matter was concluded eight hours ago,-8,26,41,hour
"Their anniversary celebration took place three months ago, and it was beautiful",-2160,41,57,month
"I know they are leaving in three days, but I don't know when they will return",72,24,37,day
He had to wait until four hours ago to get a table,-4,21,35,hour
"Their anniversary celebration took place three weeks ago, and it was beautiful",-504,41,56,week
That matter was concluded three days ago,-72,26,40,day
"The film came out four hours ago, receving a mixed reception",-4,18,32,hour
"I last saw them a day ago, and we had a great time catching up",-24,16,25,day
"The concert was postponed to in two days, due to unexpected weather conditions",48,29,40,day
"Their anniversary celebration took place six hours ago, and it was beautiful",-6,41,54,hour
"two years ago, he finally talked to me",-17520,0,13,year
"His resignation was officially announced six hours ago, shocking many employees",-6,41,54,hour
"I'll call you back next month, once I have more information",720,19,29,month
"Their anniversary celebration took place four days ago, and it was beautiful",-96,41,54,day
The product launched twelve hours ago and was a great success,-12,21,37,hour
"I know they are leaving in three months, but I don't know when they will return",2160,24,39,month
"We’re planning to visit them in six weeks, if everything goes as expected",1008,29,41,week
She went to the doctor six months ago,-4320,23,37,month
"The store is expected to restock the item in six months, according to their website",4320,42,55,month
"I met him for the first time two months ago, and we immediately hit it off",-1440,29,43,month
That matter was concluded an hour ago,-1,26,37,hour
"His resignation was officially announced an hour ago, shocking many employees",-1,41,52,hour
"The new law goes into effect in an hour, changing several regulations",1,29,39,hour
Our meeting is set in six years,52560,19,31,year
"The concert was postponed to in four days, due to unexpected weather conditions",96,29,41,day
She went to the doctor eight hours ago,-8,23,38,hour
"We’re planning to visit them in three weeks, if everything goes as expected",504,29,43,week
"We’re planning to visit them in an hour, if everything goes as expected",1,29,39,hour
He had to wait until two weeks ago to get a table,-336,21,34,week
That matter was concluded three hours ago,-3,26,41,hour
"I met him for the first time four hours ago, and we immediately hit it off",-4,29,43,hour
"The concert was postponed to in two months, due to unexpected weather conditions",1440,29,42,month
"I last saw them five days ago, and we had a great time catching up",-120,16,29,day
"His resignation was officially announced six weeks ago, shocking many employees",-1008,41,54,week
"We’re planning to visit them in twelve hours, if everything goes as expected",12,29,44,hour
"The concert was postponed to next month, due to unexpected weather conditions",720,29,39,month
I was watching a video three years ago which explained the subject really well,-26280,23,38,year
"The store is expected to restock the item in five days, according to their website",120,42,54,day
"The concert was postponed to in two years, due to unexpected weather conditions",17520,29,41,year
"I know they are leaving in six weeks, but I don't know when they will return",1008,24,36,week
"We’re planning to visit them tomorrow, if everything goes as expected",24,29,37,day
"Their anniversary celebration took place two days ago, and it was beautiful",-48,41,53,day
"The store is expected to restock the item in six weeks, according to their website",1008,42,54,week
He had to wait until twelve hours ago to get a table,-12,21,37,hour
"We’re planning to visit them in three years, if everything goes as expected",26280,29,43,year
"I last saw them six days ago, and we had a great time catching up",-144,16,28,day
She went to the doctor four hours ago,-4,23,37,hour
Our meeting is set in six months,4320,19,32,month
She went to the doctor three years ago,-26280,23,38,year
"The new law goes into effect in five days, changing several regulations",120,29,41,day
"The new law goes into effect in six months, changing several regulations",4320,29,42,month
I'll go buy groceries in six days,144,22,33,day
Our meeting is set in three years,26280,19,33,year
"I'll call you back in six months, once I have more information",4320,19,32,month
"I met him for the first time two years ago, and we immediately hit it off",-17520,29,42,year
"The new law goes into effect in three years, changing several regulations",26280,29,43,year
"an hour ago, he finally talked to me",-1,0,11,hour
"Their anniversary celebration took place two hours ago, and it was beautiful",-2,41,54,hour
"The film came out six weeks ago, receving a mixed reception",-1008,18,31,week
"Their anniversary celebration took place three hours ago, and it was beautiful",-3,41,56,hour
"The film came out three days ago, receving a mixed reception",-72,18,32,day
"The concert was postponed to in three years, due to unexpected weather conditions",26280,29,43,year
"six years ago, he finally talked to me",-52560,0,13,year
"His resignation was officially announced three weeks ago, shocking many employees",-504,41,56,week
"The new law goes into effect three hours from now, changing several regulations",3,29,49,hour
I was watching a video five days ago which explained the subject really well,-120,23,36,day
"Their anniversary celebration took place an hour ago, and it was beautiful",-1,41,52,hour
"I know they are leaving in twelve hours, but I don't know when they will return",12,24,39,hour
"Their anniversary celebration took place a day ago, and it was beautiful",-24,41,50,day
"We’re planning to visit them in two hours, if everything goes as expected",2,29,41,hour
We watched the movie together a month ago,-720,30,41,month
Our meeting is set tomorrow,24,19,27,day
"I met him for the first time a day ago, and we immediately hit it off",-24,29,38,day
"I know they are leaving in six hours, but I don't know when they will return",6,24,36,hour
"I know they are leaving in two hours, but I don't know when they will return",2,24,36,hour
"The concert was postponed to in six weeks, due to unexpected weather conditions",1008,29,41,week
"Their anniversary celebration took place six weeks ago, and it was beautiful",-1008,41,54,week
"The concert was postponed to in three days, due to unexpected weather conditions",72,29,42,day
We watched the movie together two days ago,-48,30,42,day
"I'll call you back tomorrow, once I have more information",24,19,27,day
"Their anniversary celebration took place two months ago, and it was beautiful",-1440,41,55,month
"The new law goes into effect in six days, changing several regulations",144,29,40,day
That matter was concluded twelve hours ago,-12,26,42,hour
We watched the movie together a day ago,-24,30,39,day
"His resignation was officially announced two weeks ago, shocking many employees",-336,41,54,week
I was watching a video six days ago which explained the subject really well,-144,23,35,day
"five days ago, he finally talked to me",-120,0,13,day
"I'll call you back in three weeks, once I have more information",504,19,33,week
We watched the movie together six weeks ago,-1008,30,43,week
"I last saw them three weeks ago, and we had a great time catching up",-504,16,31,week
"His resignation was officially announced four hours ago, shocking many employees",-4,41,55,hour
He had to wait until two days ago to get a table,-48,21,33,day
"The film came out three hours ago, receving a mixed reception",-3,18,33,hour
"The store is expected to restock the item in twelve hours, according to their website",12,42,57,hour
"three days ago, he finally talked to me",-72,0,14,day
The product launched two years ago and was a great success,-17520,21,34,year
"six months ago, he finally talked to me",-4320,0,14,month
"I met him for the first time eight hours ago, and we immediately hit it off",-8,29,44,hour
"The film came out a day ago, receving a mixed reception",-24,18,27,day
That matter was concluded a week ago,-168,26,36,week
I was watching a video six years ago which explained the subject really well,-52560,23,36,year
He had to wait until four days ago to get a table,-96,21,34,day
The product launched four hours ago and was a great success,-4,21,35,hour
"I'll call you back in two months, once I have more information",1440,19,32,month
"I last saw them three years ago, and we had a great time catching up",-26280,16,31,year
She went to the doctor three months ago,-2160,23,39,month
"I last saw them a year ago, and we had a great time catching up",-8760,16,26,year
The product launched four days ago and was a great success,-96,21,34,day
She went to the doctor five days ago,-120,23,36,day
"six weeks ago, he finally talked to me",-1008,0,13,week
"The film came out two hours ago, receving a mixed reception",-2,18,31,hour
"The concert was postponed to tomorrow, due to unexpected weather conditions",24,29,37,day
I was watching a video two days ago which explained the subject really well,-48,23,35,day
I was watching a video two weeks ago which explained the subject really well,-336,23,36,week
I was watching a video three weeks ago which explained the subject really well,-504,23,38,week
"We’re planning to visit them next year, if everything goes as expected",8760,29,38,year
The product launched five days ago and was a great success,-120,21,34,day
We watched the movie together three years ago,-26280,30,45,year
"We’re planning to visit them in three days, if everything goes as expected",72,29,42,day
"I met him for the first time a month ago, and we immediately hit it off",-720,29,40,month
"His resignation was officially announced twelve hours ago, shocking many employees",-12,41,57,hour
The product launched six weeks ago and was a great success,-1008,21,34,week
"I met him for the first time a week ago, and we immediately hit it off",-168,29,39,week
"I'll call you back three hours from now, once I have more information",3,19,39,hour
"I know they are leaving in six days, but I don't know when they will return",144,24,35,day
"The store is expected to restock the item in two hours, according to their website",2,42,54,hour
"We’re planning to visit them next month, if everything goes as expected",720,29,39,month
"Their anniversary celebration took place six months ago, and it was beautiful",-4320,41,55,month
"The store is expected to restock the item in two months, according to their website",1440,42,55,month
"The concert was postponed to in two weeks, due to unexpected weather conditions",336,29,41,week
"I know they are leaving next month, but I don't know when they will return",720,24,34,month
That matter was concluded three weeks ago,-504,26,41,week
"The store is expected to restock the item in two weeks, according to their website",336,42,54,week
"We’re planning to visit them three hours from now, if everything goes as expected",3,29,49,hour
"His resignation was officially announced three months ago, shocking many employees",-2160,41,57,month
"I know they are leaving three hours from now, but I don't know when they will return",3,24,44,hour
"I know they are leaving four hours from now, but I don't know when they will return",4,24,43,hour
"The film came out a week ago, receving a mixed reception",-168,18,28,week
"I'll call you back in three years, once I have more information",26280,19,33,year
The product launched six years ago and was a great success,-52560,21,34,year
"His resignation was officially announced eight hours ago, shocking many employees",-8,41,56,hour
"I'll call you back in twelve hours, once I have more information",12,19,34,hour
"We’re planning to visit them in five days, if everything goes as expected",120,29,41,day
He had to wait until a month ago to get a table,-720,21,32,month
"I know they are leaving in eight hours, but I don't know when they will return",8,24,38,hour
"The new law goes into effect in three months, changing several regulations",2160,29,44,month
That matter was concluded six days ago,-144,26,38,day
